eval/mean_quat_reward,train/n_updates,eval/mean_bonus_reward,train/ent_coef,train/critic_loss,eval/success_rate,time/total_timesteps,train/learning_rate,train/ent_coef_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_pos_reward,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/fps
32.54728443226466,24899,0.0,0.007306195329874754,0.034010883420705795,0.0,25000,0.0003,-3.258195400238037,-61.002647399902344,50.0,20.04972920872492,22.57989217623165,,,,,,
,,,,,,25000,,,,,,,368,500,20.08950975,50.0,0.0,67
33.458685655551314,49899,0.0,0.006516469642519951,0.0557999350130558,0.0,50000,0.0003,-1.520749568939209,-60.16679763793945,50.0,22.129336269000778,26.682278883151156,,,,,,
,,,,,,50000,,,,,,,756,1000,22.936266769999996,50.0,0.0,66
37.36683381502643,74899,0.0,0.0067424108274281025,0.07640565931797028,0.0,75000,0.0003,0.7125348448753357,-59.43480682373047,50.0,24.320482656834937,28.89907902871962,,,,,,
,,,,,,75000,,,,,,,1145,1500,23.967223880000002,50.0,0.0,65
37.78662493957794,99899,0.0,0.006447537802159786,0.08777032792568207,0.0,100000,0.0003,-0.03262221813201904,-59.81584167480469,50.0,25.219887709378963,30.655011236359382,,,,,,
,,,,,,100000,,,,,,,1533,2000,24.355758469999998,50.0,0.0,65
37.780355858955005,124899,0.0,0.006213044282048941,0.08040155470371246,0.0,125000,0.0003,-0.029565393924713135,-59.942405700683594,50.0,26.766688245306725,34.19503325209738,,,,,,
,,,,,,125000,,,,,,,1917,2500,26.244723929999996,50.0,0.0,65
39.329714738205574,149899,0.0,0.006102468352764845,0.08917013555765152,0.0,150000,0.0003,-0.005566954612731934,-60.82229995727539,50.0,28.087322562007465,36.10694101307189,,,,,,
,,,,,,150000,,,,,,,2303,3000,27.216312460000005,50.0,0.0,65
39.87268855311494,174899,0.0,0.0059709991328418255,0.0845949575304985,0.0,175000,0.0003,4.139280319213867,-61.57514953613281,50.0,27.944931672977983,35.39363772617602,,,,,,
,,,,,,175000,,,,,,,2690,3500,27.014818799999997,50.0,0.0,65
40.335387646570005,199899,0.0,0.005528560373932123,0.0837082788348198,0.0,200000,0.0003,-1.2665995359420776,-61.32013702392578,50.0,28.759722565338016,36.9255175731469,,,,,,
,,,,,,200000,,,,,,,3076,4000,27.91638156,50.0,0.0,65
39.112493582549085,224899,0.0,0.005290213972330093,0.07561318576335907,0.0,225000,0.0003,-1.7527055740356445,-62.21453094482422,50.0,27.939942342235007,35.9252299221939,,,,,,
,,,,,,225000,,,,,,,3460,4500,28.106701629999996,50.0,0.0,65
39.318744155963905,249899,0.01,0.004909153562039137,0.07322397083044052,0.0,250000,0.0003,-1.3365085124969482,-62.698856353759766,50.0,28.13440581042785,36.216681745689364,,,,,,
,,,,,,250000,,,,,,,3860,5000,28.35875718,50.0,0.0,64
38.414422830282994,274899,0.0,0.004694805480539799,0.09851907193660736,0.0,275000,0.0003,-0.2749999761581421,-61.50425720214844,50.0,28.43246701883385,37.54962258904655,,,,,,
,,,,,,275000,,,,,,,4259,5500,28.57368792,50.0,0.0,64
40.6475549744446,299899,0.0,0.0047294460237026215,0.0867745652794838,0.0,300000,0.0003,0.48678338527679443,-62.99700927734375,50.0,29.327729907725008,38.000843340744154,,,,,,
,,,,,,300000,,,,,,,4657,6000,28.607283929999998,50.0,0.0,64
40.04017260240255,324899,0.0,0.004612980876117945,0.08071713149547577,0.0,325000,0.0003,-2.1723175048828125,-63.277801513671875,50.0,29.324049573773518,38.42627575797809,,,,,,
,,,,,,325000,,,,,,,5052,6500,29.265721479999996,50.0,0.01,64
40.63686404030265,349899,0.0,0.00434774300083518,0.06045430526137352,0.0,350000,0.0003,-1.216423511505127,-63.842979431152344,50.0,29.155993959211045,37.61594044669965,,,,,,
,,,,,,350000,,,,,,,5448,7000,29.583901859999997,50.0,0.0,64
39.558685068192794,374899,0.45999999999999996,0.004107534885406494,0.06925448775291443,0.02,375000,0.0003,3.7146923542022705,-63.12104415893555,50.0,28.818815655678044,37.35251791622091,,,,,,
,,,,,,375000,,,,,,,5832,7500,29.378464449999996,50.0,0.0,64
39.9293560402356,399899,0.0,0.003972288686782122,0.0654282495379448,0.0,400000,0.0003,-0.9339686632156372,-64.1953353881836,50.0,29.17648842319846,38.168147747912585,,,,,,
,,,,,,400000,,,,,,,6217,8000,28.905471079999998,50.0,0.0,64
40.28142639884852,424899,0.02,0.0038617129903286695,0.0754837840795517,0.0,425000,0.0003,1.0822325944900513,-64.26458740234375,50.0,29.402220504479484,38.421199425314036,,,,,,
,,,,,,425000,,,,,,,6608,8500,28.61664705,50.0,0.0,64
39.66852808849083,449899,0.0,0.0037755530793219805,0.061157841235399246,0.0,450000,0.0003,-1.6525681018829346,-63.47871398925781,50.0,28.927820653477685,37.786070029659065,,,,,,
,,,,,,450000,,,,,,,7001,9000,30.23828281,50.0,0.0,64
41.460176604095466,474899,0.0,0.003591693937778473,0.05683238059282303,0.0,475000,0.0003,-1.064279556274414,-63.93708801269531,50.0,30.606968242824077,40.34437269874841,,,,,,
,,,,,,475000,,,,,,,7392,9500,30.049403339999998,50.0,0.0,64
39.76235831028586,499899,0.02,0.003636567620560527,0.05576245114207268,0.0,500000,0.0003,1.6207528114318848,-64.56171417236328,50.0,29.647350367917678,39.35225919635791,,,,,,
,,,,,,500000,,,,,,,7790,10000,30.179278119999996,50.0,0.0,64
