eval/mean_ep_length,eval/mean_quat_reward,train/learning_rate,train/ent_coef,eval/mean_reward,train/ent_coef_loss,eval/mean_pos_reward,eval/mean_bonus_reward,train/actor_loss,train/n_updates,time/total_timesteps,train/critic_loss,eval/success_rate,time/episodes,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean
50.0,36.395612778502866,0.0003,0.007153110578656197,23.257454027635976,1.7381938695907593,20.238590579701572,0.0,-63.068702697753906,24899,25000,0.06098430976271629,0.0,,,,,,
,,,,,,,,,,25000,,,500,0.0,387,21.826038630000003,64,50.0
50.0,39.57885310264417,0.0003,0.007439703680574894,25.841557772431408,-2.663411855697632,24.208524867889086,0.0,-64.81474304199219,49899,50000,0.06433751434087753,0.0,,,,,,
,,,,,,,,,,50000,,,1000,0.0,788,25.50389616,63,50.0
50.0,40.318607217978844,0.0003,0.006983678787946701,25.883168401442234,-0.9912445545196533,22.89545913546441,0.0,-64.50617980957031,74899,75000,0.08959396183490753,0.0,,,,,,
,,,,,,,,,,75000,,,1500,0.0,1185,25.987536499999997,63,50.0
50.0,39.575160767553136,0.0003,0.00652305455878377,25.91901426061755,1.3597583770751953,24.525735473641234,0.0,-64.1131820678711,99899,100000,0.09053561091423035,0.0,,,,,,
,,,,,,,,,,100000,,,2000,0.0,1576,25.686532639999996,63,50.0
50.0,40.71282795736336,0.0003,0.006329781841486692,26.82840653164312,-2.1424808502197266,25.887970208195643,0.0,-63.564552307128906,124899,125000,0.08712086081504822,0.0,,,,,,
,,,,,,,,,,125000,,,2500,0.0,1965,27.039300820000005,63,50.0
50.0,41.31477241359504,0.0003,0.005980713292956352,27.59064255060628,2.077181816101074,27.733025349820174,0.0,-63.469207763671875,149899,150000,0.10264408588409424,0.0,,,,,,
,,,,,,,,,,150000,,,3000,0.0,2357,27.573416530000003,63,50.0
50.0,40.32968010119939,0.0003,0.005893206689506769,27.108387876492927,1.520681381225586,27.77419130830973,0.0,-63.179779052734375,174899,175000,0.09110141545534134,0.0,,,,,,
,,,,,,,,,,175000,,,3500,0.0,2751,27.47896891,63,50.0
50.0,41.04291831854639,0.0003,0.005459158215671778,27.650285671071032,-0.027104616165161133,28.51530604117844,0.0,-62.95640563964844,199899,200000,0.09477454423904419,0.0,,,,,,
,,,,,,,,,,200000,,,4000,0.0,3143,27.03359535,63,50.0
50.0,39.75706630985557,0.0003,0.005243516527116299,26.516686942395754,-1.1612340211868286,26.55261514253781,0.0,-63.41001892089844,224899,225000,0.07428807020187378,0.0,,,,,,
,,,,,,,,,,225000,,,4500,0.0,3531,28.06401805,63,50.0
50.0,42.4882681151993,0.0003,0.004992209374904633,28.864546028692274,-1.882666826248169,30.481647949827483,0.0,-62.91436767578125,249899,250000,0.09820716828107834,0.0,,,,,,
,,,,,,,,,,250000,,,5000,0.0,3919,27.442111680000004,63,50.0
50.0,40.93858885754863,0.0003,0.004952915944159031,27.463467898766975,-1.5021584033966064,27.976693858391343,0.0,-63.032684326171875,274899,275000,0.1116388738155365,0.0,,,,,,
,,,,,,,,,,275000,,,5500,0.0,4314,27.847008539999994,63,50.0
50.0,43.25358343211799,0.0003,0.004862756002694368,28.930289742313324,1.3332996368408203,29.213991991935462,0.0,-63.31590270996094,299899,300000,0.08556021749973297,0.0,,,,,,
,,,,,,,,,,300000,,,6000,0.0,4702,27.61218188,63,50.0
50.0,41.341318494476965,0.0003,0.004598916042596102,28.27196537176147,1.3454710245132446,30.305224465972696,0.1,-62.940494537353516,324899,325000,0.08715268224477768,0.0,,,,,,
,,,,,,,,,,325000,,,6500,0.0,5088,28.650243159999995,63,50.0
50.0,42.48432213509963,0.0003,0.004586673807352781,28.44166721618036,1.5636494159698486,28.78802460339347,0.01,-63.54069137573242,349899,350000,0.08025285601615906,0.0,,,,,,
,,,,,,,,,,350000,,,7000,0.0,5472,27.95051832,63,50.0
50.0,42.751731899536985,0.0003,0.004533443134278059,29.267676531686448,-0.9700534343719482,31.567242363640307,0.0,-64.04925537109375,374899,375000,0.06677982211112976,0.0,,,,,,
,,,,,,,,,,375000,,,7500,0.0,5863,28.79721732,63,50.0
50.0,41.9883205551252,0.0003,0.004370253067463636,28.76568549858057,-4.071660995483398,31.08610094746333,0.0,-64.0479507446289,399899,400000,0.0639781802892685,0.0,,,,,,
,,,,,,,,,,400000,,,8000,0.0,6251,29.302365319999993,63,50.0
50.0,41.771727286837326,0.0003,0.004150002729147673,29.078976908335463,2.432553768157959,32.77245304246589,0.0,-63.871009826660156,424899,425000,0.09061293303966522,0.0,,,,,,
,,,,,,,,,,425000,,,8500,0.0,6635,29.314780780000007,64,50.0
50.0,42.3052005059845,0.0003,0.003936453722417355,29.48249903433025,-0.4787569046020508,33.3195951996899,0.0,-63.80015182495117,449899,450000,0.08713113516569138,0.0,,,,,,
,,,,,,,,,,450000,,,9000,0.0,7021,28.733359890000003,64,50.0
50.0,42.614865826319864,0.0003,0.004018861800432205,29.618784569464623,-1.7223005294799805,33.24540660012907,0.0,-64.3935775756836,474899,475000,0.0735359936952591,0.0,,,,,,
,,,,,,,,,,475000,,,9500,0.0,7415,28.890536870000002,64,50.0
50.0,42.934289146877326,0.0003,0.00399254122748971,29.977638476900758,-1.5195090770721436,34.00197563879903,0.04,-64.52181243896484,499899,500000,0.06385965645313263,0.0,,,,,,
,,,,,,,,,,500000,,,10000,0.0,7810,29.077528070000007,64,50.0
