eval/mean_reward,eval/mean_ep_length,time/total_timesteps,eval/mean_pos_reward,train/n_updates,eval/mean_quat_reward,train/actor_loss,train/ent_coef_loss,eval/mean_bonus_reward,train/learning_rate,train/critic_loss,train/ent_coef,eval/success_rate,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,time/episodes,rollout/ep_len_mean
31.264515591356904,50.0,1225000,39.128884884697705,1224899,43.203975064707755,-67.69699096679688,-3.0523407459259033,0.54,0.0003,0.03527136892080307,0.0024073317181319,0.02,,,,,,
,,1225000,,,,,,,,,,,64,30.516848260000003,0.0,19132,24500,50.0
30.536449974495916,50.0,1250000,38.37718487838299,1249899,42.37389649159484,-66.97852325439453,2.1861019134521484,0.02,0.0003,0.039110537618398666,0.002278166124597192,0.0,,,,,,
,,1250000,,,,,,,,,,,64,30.55139894,0.0,19521,25000,50.0
30.764445169549436,50.0,1275000,37.949854949217254,1274899,43.211692616348984,-67.46490478515625,1.2367236614227295,0.0,0.0003,0.041776303201913834,0.002245985670015216,0.0,,,,,,
,,1275000,,,,,,,,,,,64,31.14826278,0.0,19915,25500,50.0
31.18032691633329,50.0,1300000,38.941273104932975,1299899,43.38555214417765,-67.75520324707031,-2.5132226943969727,0.12,0.0003,0.03830884024500847,0.0022235491778701544,0.0,,,,,,
,,1300000,,,,,,,,,,,64,30.94556702,0.0,20311,26000,50.0
30.91503169220872,50.0,1325000,39.53207872982407,1324899,42.25430192935536,-67.48187255859375,1.5038098096847534,0.3,0.0003,0.03603319823741913,0.0022562150843441486,0.01,,,,,,
,,1325000,,,,,,,,,,,63,31.062807250000006,0.0,20705,26500,50.0
30.80112255740911,50.0,1350000,37.32612943689347,1349899,43.47247341508202,-68.05155944824219,-0.725531816482544,0.47000000000000003,0.0003,0.030679043382406235,0.002181046875193715,0.02,,,,,,
,,1350000,,,,,,,,,,,63,31.348349879999997,0.0,21099,27000,50.0
30.996008575884627,50.0,1375000,38.69107595241006,1374899,43.21153679401823,-67.26901245117188,2.1711530685424805,0.0,0.0003,0.03362853825092316,0.0022055006120353937,0.0,,,,,,
,,1375000,,,,,,,,,,,63,30.903424189999996,0.0,21487,27500,50.0
30.78010300114751,50.0,1400000,38.117372146652514,1399899,43.12211246175413,-67.5880355834961,1.6183645725250244,0.01,0.0003,0.03119518980383873,0.0021614287979900837,0.0,,,,,,
,,1400000,,,,,,,,,,,64,30.662042470000003,0.0,21870,28000,50.0
30.815593513399946,50.0,1425000,37.412577792858166,1424899,43.712372460309965,-68.0429916381836,-0.410470187664032,0.0,0.0003,0.026739004999399185,0.002175368834286928,0.0,,,,,,
,,1425000,,,,,,,,,,,64,31.022149149999997,0.01,22252,28500,50.0
31.063371539190413,50.0,1450000,38.98931270965918,1449899,43.15248301770124,-67.8847427368164,2.8317039012908936,0.0,0.0003,0.029849965125322342,0.00213204650208354,0.0,,,,,,
,,1450000,,,,,,,,,,,64,31.4784654,0.0,22631,29000,50.0
31.255949524436147,50.0,1475000,39.22393837412803,1474899,43.41935724680311,-68.1139144897461,-2.429140090942383,0.01,0.0003,0.025998486205935478,0.002094442257657647,0.0,,,,,,
,,1475000,,,,,,,,,,,64,30.693244809999996,0.0,23008,29500,50.0
30.822016459181906,50.0,1500000,38.6555940707724,1499899,42.83918467779462,-67.82414245605469,1.4125676155090332,0.0,0.0003,0.03451871499419212,0.0021049929782748222,0.0,,,,,,
,,1500000,,,,,,,,,,,64,30.98924751,0.0,23398,30000,50.0
30.73090314581059,50.0,1525000,38.32075812225641,1524899,42.87009425049246,-67.98532104492188,-3.167881727218628,0.0,0.0003,0.03086834028363228,0.002028602873906493,0.0,,,,,,
,,1525000,,,,,,,,,,,64,30.56088029,0.0,23766,30500,50.0
30.590894024473382,50.0,1550000,37.87492038814449,1549899,42.86281466769421,-67.84402465820312,1.6901264190673828,0.01,0.0003,0.026520991697907448,0.002051351126283407,0.0,,,,,,
,,1550000,,,,,,,,,,,64,30.707451880000004,0.0,24133,31000,50.0
31.35239406874869,50.0,1575000,39.06354953817582,1574899,43.76007958865125,-68.31474304199219,1.4791982173919678,0.0,0.0003,0.028376806527376175,0.0019873729906976223,0.0,,,,,,
,,1575000,,,,,,,,,,,64,31.00978054,0.0,24516,31500,50.0
31.475538194924592,50.0,1600000,39.8470139573362,1599899,43.47622011720756,-68.04020690917969,1.7917616367340088,0.01,0.0003,0.03095286153256893,0.0019330065697431564,0.0,,,,,,
,,1600000,,,,,,,,,,,64,31.147398,0.0,24901,32000,50.0
31.231533868946133,50.0,1625000,39.28839276890265,1624899,43.237511182494174,-68.4504623413086,-2.197610855102539,0.15,0.0003,0.025073664262890816,0.0019440053729340434,0.01,,,,,,
,,1625000,,,,,,,,,,,64,30.62533653,0.01,25283,32500,50.0
31.01450309900567,50.0,1650000,38.92385230358031,1649899,43.08754112969645,-68.49949645996094,-1.4826546907424927,0.0,0.0003,0.024616356939077377,0.001989026553928852,0.0,,,,,,
,,1650000,,,,,,,,,,,64,30.636138010000003,0.01,25667,33000,50.0
30.112265066737308,50.0,1675000,36.998995413886426,1674899,42.26303774654793,-68.24302673339844,-1.5545505285263062,0.24,0.0003,0.022755291312932968,0.0019522721413522959,0.0,,,,,,
,,1675000,,,,,,,,,,,64,31.391392420000003,0.01,26049,33500,50.0
31.36773709639907,50.0,1700000,40.210985583990364,1699899,42.90698080522441,-68.4199447631836,0.1152263879776001,0.12,0.0003,0.026196788996458054,0.0019306428730487823,0.01,,,,,,
,,1700000,,,,,,,,,,,64,30.814892379999993,0.0,26424,34000,50.0
30.71214866051978,50.0,1725000,37.62884193431299,1724899,43.20716701845267,-68.29122924804688,1.8161728382110596,0.2,0.0003,0.02525629848241806,0.0019028729293495417,0.01,,,,,,
,,1725000,,,,,,,,,,,64,31.64564477,0.0,26801,34500,50.0
31.32776044193655,50.0,1750000,39.30356700822708,1749899,43.53233315890259,-68.10318756103516,5.2533111572265625,0.0,0.0003,0.03417110815644264,0.001861626049503684,0.0,,,,,,
,,1750000,,,,,,,,,,,64,31.52260918,0.0,27185,35000,50.0
31.390421804711224,50.0,1775000,39.544500259372214,1774899,43.38346389170365,-68.78229522705078,-4.801468849182129,0.21,0.0003,0.02691854164004326,0.00186283013317734,0.01,,,,,,
,,1775000,,,,,,,,,,,64,31.05758085,0.01,27568,35500,50.0
31.57354011133313,50.0,1800000,39.18252030070652,1799899,44.1805771718294,-68.7911376953125,-3.5826492309570312,0.0,0.0003,0.024052999913692474,0.0018902247538790107,0.0,,,,,,
,,1800000,,,,,,,,,,,64,31.09155053,0.0,27942,36000,50.0
31.157875236421823,50.0,1825000,39.332520093848885,1824899,43.06048615011403,-68.31816101074219,-0.9577378034591675,0.11,0.0003,0.023848220705986023,0.0018799130339175463,0.01,,,,,,
,,1825000,,,,,,,,,,,64,31.28586046,0.01,28323,36500,50.0
31.717992921695114,50.0,1850000,39.72144195255867,1849899,43.97152530041416,-68.77039337158203,-2.9751930236816406,0.27,0.0003,0.030090374872088432,0.001874394714832306,0.01,,,,,,
,,1850000,,,,,,,,,,,64,31.241217380000002,0.01,28703,37000,50.0
31.694688811628147,50.0,1875000,39.98186454486965,1874899,43.81795688095326,-68.35472869873047,1.0858877897262573,0.12,0.0003,0.031610604375600815,0.0018374186474829912,0.01,,,,,,
,,1875000,,,,,,,,,,,64,31.22985307,0.0,29089,37500,50.0
30.151123885754497,50.0,1900000,38.87612673372545,1899899,41.14819260712648,-68.68742370605469,-0.46751976013183594,0.0,0.0003,0.022268453612923622,0.0018345600692555308,0.0,,,,,,
,,1900000,,,,,,,,,,,64,31.20959753,0.0,29476,38000,50.0
31.347747798003255,50.0,1925000,39.49395363273007,1924899,43.34488526965533,-68.61441802978516,-4.06376838684082,0.16999999999999998,0.0003,0.020581776276230812,0.001858133589848876,0.0,,,,,,
,,1925000,,,,,,,,,,,64,30.456451930000004,0.0,29863,38500,50.0
31.468511454235994,50.0,1950000,39.77200180181827,1949899,43.51945345709845,-68.3927001953125,2.8827311992645264,0.0,0.0003,0.028228316456079483,0.0018589665414765477,0.0,,,,,,
,,1950000,,,,,,,,,,,64,30.605523830000003,0.0,30242,39000,50.0
31.74321134828031,50.0,1975000,40.03840749385841,1974899,43.945620616130185,-69.16866302490234,-7.154296875,0.02,0.0003,0.020428698509931564,0.001832125592045486,0.0,,,,,,
,,1975000,,,,,,,,,,,64,30.686565740000002,0.0,30625,39500,50.0
31.200835881922394,50.0,2000000,38.91504495838221,1999899,43.50830708078494,-68.25888061523438,3.596330165863037,0.02,0.0003,0.02456321194767952,0.0018800070974975824,0.0,,,,,,
,,2000000,,,,,,,,,,,64,31.61030723,0.0,31014,40000,50.0
30.842614447977393,50.0,2025000,38.57297038291897,2024899,42.933854199094725,-68.53496551513672,2.1529481410980225,0.02,0.0003,0.025226261466741562,0.0017902057152241468,0.0,,,,,,
,,2025000,,,,,,,,,,,64,31.523698649999996,0.0,31391,40500,50.0
31.818988270368425,50.0,2050000,39.787121089911885,2049899,44.00117240873809,-68.51416015625,0.6143882274627686,0.54,0.0003,0.030596721917390823,0.001856127753853798,0.04,,,,,,
