train/ent_coef,time/fps,time/episodes,train/ent_coef_loss,rollout/ep_len_mean,rollout/success_rate,train/n_updates,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/learning_rate
0.7638133764266968,66,20,-3.1665563583374023,50.0,0.0,899,0.07046357542276382,-20.340396881103516,-8.765983299999998,14,1000,0.0003
0.5658261179924011,65,40,-6.7005615234375,50.0,0.0,1899,0.033771585673093796,-31.341999053955078,-8.2953559,30,2000,0.0003
0.41927167773246765,65,60,-10.141284942626953,50.0,0.0,2899,0.03485499322414398,-38.89899826049805,-8.910113233333334,46,3000,0.0003
0.31079915165901184,64,80,-13.692819595336914,50.0,0.0,3899,0.02106701210141182,-43.56849670410156,-9.5874609875,61,4000,0.0003
0.23045466840267181,64,100,-17.109378814697266,50.0,0.0,4899,0.0182955302298069,-46.1894416809082,-9.91660048,77,5000,0.0003
0.17091616988182068,64,120,-20.639938354492188,50.0,0.0,5899,0.013836536556482315,-47.25214767456055,-10.43044627,92,6000,0.0003
0.12673646211624146,65,140,-24.01422119140625,50.0,0.0,6899,0.01593627780675888,-47.04928207397461,-11.281555840000001,106,7000,0.0003
0.09395460784435272,65,160,-27.268321990966797,50.0,0.0,7899,0.012338817119598389,-45.968727111816406,-11.531447409999998,121,8000,0.0003
0.06963205337524414,66,180,-30.670034408569336,50.0,0.0,8899,0.013633079826831818,-44.448448181152344,-11.454409519999997,135,9000,0.0003
0.051599591970443726,66,200,-34.01201629638672,50.0,0.0,9899,0.013323207385838032,-42.47429656982422,-11.183128270000003,150,10000,0.0003
0.038274284452199936,66,220,-37.23554992675781,50.0,0.0,10899,0.013019783422350883,-40.235984802246094,-10.995982730000001,166,11000,0.0003
0.02847905643284321,65,240,-39.465049743652344,50.0,0.0,11899,0.010237716138362885,-37.798038482666016,-10.130281700000001,182,12000,0.0003
0.02132995054125786,65,260,-39.01944351196289,50.0,0.0,12899,0.01177008356899023,-35.30975341796875,-9.770467779999999,197,13000,0.0003
0.016120336949825287,65,280,-40.072914123535156,50.0,0.009999999776482582,13899,0.011438283137977123,-32.90331268310547,-9.13581175,213,14000,0.0003
0.012336086481809616,65,300,-31.093780517578125,50.0,0.009999999776482582,14899,0.010826809331774712,-30.57811164855957,-8.84774636,229,15000,0.0003
0.009493197314441204,65,320,-29.95732879638672,50.0,0.019999999552965164,15899,0.009237516671419144,-28.762802124023438,-8.38835521,245,16000,0.0003
0.0073217363096773624,65,340,-31.72316551208496,50.0,0.019999999552965164,16899,0.0070490045472979546,-26.614898681640625,-8.46203549,261,17000,0.0003
0.005605937447398901,65,360,-28.3204345703125,50.0,0.019999999552965164,17899,0.007174883037805557,-24.795352935791016,-8.06404066,276,18000,0.0003
0.004277648404240608,64,380,-27.22222900390625,50.0,0.009999999776482582,18899,0.005586668383330107,-22.878158569335938,-7.95365298,292,19000,0.0003
0.0033028493635356426,64,400,-29.52280044555664,50.0,0.029999999329447746,19899,0.0074495417065918446,-21.12820053100586,-7.583782940000001,307,20000,0.0003
0.0025656099896878004,64,420,-20.360363006591797,50.0,0.019999999552965164,20899,0.004975260701030493,-19.4599609375,-7.23679052,323,21000,0.0003
0.0020649838261306286,64,440,-15.202611923217773,50.0,0.019999999552965164,21899,0.004791018087416887,-17.89887809753418,-6.80050913,339,22000,0.0003
0.001672606565989554,64,460,-9.459098815917969,50.0,0.019999999552965164,22899,0.004272161051630974,-16.38003921508789,-6.41397398,354,23000,0.0003
0.0014091873308643699,64,480,-9.205974578857422,50.0,0.03999999910593033,23899,0.0037173409946262836,-15.182831764221191,-6.051854109999999,370,24000,0.0003
0.0013003633357584476,64,500,-1.422900915145874,50.0,0.029999999329447746,24899,0.0035851523280143738,-13.855936050415039,-5.6216943100000005,386,25000,0.0003
0.0013210010947659612,64,520,4.017712593078613,50.0,0.029999999329447746,25899,0.004140028730034828,-12.695347785949707,-5.341449669999999,401,26000,0.0003
0.001359013025648892,64,540,1.8106385469436646,50.0,0.05999999865889549,26899,0.003934073727577925,-11.706396102905273,-4.974607430000001,417,27000,0.0003
0.001478733727708459,64,560,2.8693366050720215,50.0,0.05999999865889549,27899,0.0033168187364935875,-10.687332153320312,-4.67850693,432,28000,0.0003
0.001688159885816276,64,580,-1.04789137840271,50.0,0.07999999821186066,28899,0.0033303541131317616,-9.870532989501953,-4.35175077,448,29000,0.0003
0.001714398735202849,64,600,1.729766607284546,50.0,0.10999999940395355,29899,0.0039531160145998,-8.987661361694336,-4.1720633,463,30000,0.0003
0.001758286147378385,64,620,-2.347647190093994,50.0,0.20000000298023224,30899,0.004309787414968014,-8.363720893859863,-3.7346470800000007,479,31000,0.0003
0.0017348680412396789,64,640,-1.6611453294754028,50.0,0.25999999046325684,31899,0.0023587869945913553,-7.58025598526001,-3.4632465800000007,494,32000,0.0003
0.0017313342541456223,64,660,-4.201969146728516,50.0,0.3700000047683716,32899,0.002682632766664028,-6.95363187789917,-3.1956522099999995,508,33000,0.0003
0.0016861149342730641,64,680,-1.864223837852478,50.0,0.44999998807907104,33899,0.0029446810949593782,-6.322745323181152,-2.9259192499999993,524,34000,0.0003
0.0016381856985390186,64,700,2.4750518798828125,50.0,0.4699999988079071,34899,0.0027111913077533245,-5.737235069274902,-2.8162981300000003,539,35000,0.0003
0.001465946319513023,64,720,-1.5411871671676636,50.0,0.46000000834465027,35899,0.002474013948813081,-5.194881439208984,-2.8407674299999996,554,36000,0.0003
