train/n_updates,train/learning_rate,train/ent_coef,eval/mean_reward,time/total_timesteps,train/ent_coef_loss,train/critic_loss,eval/mean_ep_length,train/actor_loss,eval/success_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean
1624899,0.0003,0.010700262151658535,50.13730309599778,1625000,-0.7143014669418335,0.8226780891418457,50.0,-76.31195068359375,0.72,,,,,,
,,,,1625000,,,,,,89,32500,50.0,0.5099999904632568,18163,45.731965579999994
1649899,0.0003,0.011021610349416733,56.18875572402962,1650000,-2.0549914836883545,0.6837384104728699,50.0,-81.02566528320312,0.88,,,,,,
,,,,1650000,,,,,,89,33000,50.0,0.7099999785423279,18443,52.60197776999999
1674899,0.0003,0.010587978176772594,54.92506957049481,1675000,0.7216508984565735,0.7763998508453369,50.0,-81.47057342529297,0.84,,,,,,
,,,,1675000,,,,,,89,33500,50.0,0.8100000023841858,18715,55.86571692999999
1699899,0.0003,0.0103067047894001,52.52730928998673,1700000,-0.536209762096405,0.5358166694641113,50.0,-84.82836151123047,0.72,,,,,,
,,,,1700000,,,,,,89,34000,50.0,0.8399999737739563,18993,53.89025090000001
1724899,0.0003,0.01052900217473507,50.18174661123339,1725000,-1.4762511253356934,0.5796583294868469,50.0,-87.829833984375,0.63,,,,,,
,,,,1725000,,,,,,89,34500,50.0,0.7799999713897705,19269,53.17583763
1749899,0.0003,0.010570620186626911,58.38505986666307,1750000,0.8088098168373108,0.7268528938293457,50.0,-89.81698608398438,0.95,,,,,,
,,,,1750000,,,,,,89,35000,50.0,0.9100000262260437,19546,57.33426248000001
1774899,0.0003,0.01092738937586546,59.05492229305208,1775000,-0.4356965720653534,0.5524294972419739,50.0,-91.68923950195312,0.93,,,,,,
,,,,1775000,,,,,,89,35500,50.0,0.8500000238418579,19824,55.45866293
1799899,0.0003,0.010592618025839329,58.25327101021539,1800000,0.6252360939979553,0.7473658919334412,50.0,-94.08319854736328,0.93,,,,,,
,,,,1800000,,,,,,89,36000,50.0,0.9300000071525574,20103,57.92704019
1824899,0.0003,0.010334874503314495,59.11187915151939,1825000,-0.13713347911834717,0.5346193313598633,50.0,-96.94658660888672,0.96,,,,,,
,,,,1825000,,,,,,89,36500,50.0,0.9100000262260437,20381,57.589892209999995
1849899,0.0003,0.010124574415385723,60.55024593689712,1850000,-1.0965873003005981,0.49212631583213806,50.0,-97.5893783569336,0.99,,,,,,
