train/ent_coef,train/actor_loss,eval/mean_ep_length,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,eval/mean_pos_reward,eval/success_rate,train/learning_rate,eval/mean_quat_reward,eval/mean_bonus_reward,eval/mean_reward,time/episodes,time/fps,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean
0.0028551260475069284,-77.44246673583984,50.0,1424899,0.2825084626674652,1425000,0.011622380465269089,47.864340207538696,0.58,0.0003,47.42328355828816,21.92,41.26799097508192,,,,,,
,,,,,1425000,,,,,,,,28500,150,50.0,0.3,9489,38.20648773
0.0029697194695472717,-77.56134796142578,50.0,1449899,0.9966080188751221,1450000,0.01031459029763937,47.958725314720155,0.62,0.0003,47.63639674409474,23.5,41.7634618242085,,,,,,
,,,,,1450000,,,,,,,,29000,150,50.0,0.39,9655,38.98278064
0.003192045958712697,-77.9456787109375,50.0,1474899,-0.2695815861225128,1475000,0.010005909949541092,47.893696592430466,0.53,0.0003,46.94072346550371,18.61,40.3345291313529,,,,,,
,,,,,1475000,,,,,,,,29500,150,50.0,0.42,9822,39.20238043
0.003267281921580434,-78.06584167480469,50.0,1499899,-0.10404253005981445,1500000,0.011418650858104229,47.75040977659484,0.57,0.0003,47.12845013481283,21.12,40.9373174123466,,,,,,
,,,,,1500000,,,,,,,,30000,150,50.0,0.3,9988,38.63576555
0.0035366592928767204,-78.450927734375,50.0,1524899,-0.1168651282787323,1525000,0.01140298880636692,48.0056790334758,0.6,0.0003,47.282729821048015,22.53,41.456021984219554,,,,,,
,,,,,1525000,,,,,,,,30500,150,50.0,0.42,10154,39.28551964
0.003542819758877158,-78.61630249023438,50.0,1549899,-1.6529819965362549,1550000,0.011864332482218742,47.95233098683313,0.67,0.0003,46.85899180401211,24.27,41.75841344416141,,,,,,
,,,,,1550000,,,,,,,,31000,150,50.0,0.41,10321,38.76118894
0.0036380281671881676,-78.71717071533203,50.0,1574899,-1.1514678001403809,1575000,0.010258390568196774,47.81458412754596,0.51,0.0003,46.73802518721428,19.35,40.429298352748155,,,,,,
,,,,,1575000,,,,,,,,31500,150,50.0,0.43,10486,38.97984471
0.003682925831526518,-79.12393188476562,50.0,1599899,-1.1785902976989746,1600000,0.015523940324783325,47.74743287275679,0.55,0.0003,47.028791706414786,20.580000000000002,40.775914370417595,,,,,,
,,,,,1600000,,,,,,,,32000,150,50.0,0.39,10652,39.523461209999994
0.0039404649287462234,-79.3699951171875,50.0,1624899,-0.39213407039642334,1625000,0.015440607443451881,47.82540606966158,0.63,0.0003,47.10922251008046,23.26,41.505008662641046,,,,,,
,,,,,1625000,,,,,,,,32500,150,50.0,0.44,10818,39.33773714000001
0.004186941776424646,-79.68695068359375,50.0,1649899,-0.4554595649242401,1650000,0.01568443886935711,47.722051759651116,0.64,0.0003,46.78045616965772,22.88,41.276139892041684,,,,,,
,,,,,1650000,,,,,,,,33000,150,50.0,0.4,10983,39.22990352
0.004311671014875174,-79.97581481933594,50.0,1674899,-0.09034198522567749,1675000,0.01336915697902441,47.913791008624244,0.72,0.0003,46.90634912392268,25.66,42.09848280221224,,,,,,
,,,,,1675000,,,,,,,,33500,150,50.0,0.52,11148,40.72083958
0.004487704485654831,-80.52963256835938,50.0,1699899,-0.8514416217803955,1700000,0.013949068263173103,48.064746479177884,0.74,0.0003,47.01434283291559,27.189999999999998,42.5834589317441,,,,,,
,,,,,1700000,,,,,,,,34000,150,50.0,0.46,11315,40.319676050000005
0.004615801852196455,-80.61412048339844,50.0,1724899,-0.25680750608444214,1725000,0.013227295130491257,48.1610417121476,0.75,0.0003,47.232748381907044,27.62,42.79370795190334,,,,,,
,,,,,1725000,,,,,,,,34500,150,50.0,0.56,11479,40.94462841000001
0.004843589849770069,-80.69482421875,50.0,1749899,0.7683516144752502,1750000,0.013558149337768555,47.894764307528085,0.75,0.0003,47.187846206095294,27.33,42.57684371381998,,,,,,
,,,,,1750000,,,,,,,,35000,150,50.0,0.58,11645,40.689199630000005
0.005166392307728529,-81.27352905273438,50.0,1774899,0.33536165952682495,1775000,0.015501697547733784,47.948751080976216,0.75,0.0003,47.33338029798528,27.800000000000004,42.757720610052345,,,,,,
,,,,,1775000,,,,,,,,35500,150,50.0,0.56,11811,40.72478537
0.005244509316980839,-81.24690246582031,50.0,1799899,1.7817878723144531,1800000,0.014061175286769867,47.83075760690115,0.82,0.0003,47.116816162862854,30.669999999999998,43.36208286494016,,,,,,
,,,,,1800000,,,,,,,,36000,150,50.0,0.55,11977,40.742196199999995
0.005476546473801136,-81.47481536865234,50.0,1824899,-0.5409639477729797,1825000,0.01640736125409603,48.106371465190804,0.76,0.0003,47.042009879952815,27.43,42.671188181340696,,,,,,
,,,,,1825000,,,,,,,,36500,150,50.0,0.57,12142,40.789950499999996
0.005806064233183861,-81.46360778808594,50.0,1849899,-0.36121416091918945,1850000,0.01836489886045456,48.03768763731664,0.8,0.0003,47.133723131520675,28.939999999999998,43.03727459520101,,,,,,
,,,,,1850000,,,,,,,,37000,150,50.0,0.65,12307,41.21823723000001
0.005788256414234638,-82.2916259765625,50.0,1874899,0.1606917530298233,1875000,0.02189357578754425,47.89396654323322,0.75,0.0003,47.267530802469054,27.750000000000004,42.701365971565245,,,,,,
,,,,,1875000,,,,,,,,37500,150,50.0,0.59,12473,41.12777306
0.006084923632442951,-82.01144409179688,50.0,1899899,-0.5128083825111389,1900000,0.018026582896709442,48.092218055659416,0.8,0.0003,47.48940738645279,30.34,43.50346085384488,,,,,,
,,,,,1900000,,,,,,,,38000,150,50.0,0.63,12639,41.026972539999996
0.006114390213042498,-82.22356414794922,50.0,1924899,0.276222825050354,1925000,0.016494860872626305,48.12603886866728,0.86,0.0003,47.203700345032324,31.490000000000002,43.73644453048706,,,,,,
,,,,,1925000,,,,,,,,38500,150,50.0,0.53,12804,40.61903555000001
0.006063016131520271,-82.92802429199219,50.0,1949899,0.30978506803512573,1950000,0.016140419989824295,47.98858242277839,0.77,0.0003,47.04259210871315,29.080000000000002,43.024939247369765,,,,,,
,,,,,1950000,,,,,,,,39000,150,50.0,0.53,12970,41.32162837
0.006342042237520218,-82.95449829101562,50.0,1974899,-0.7299684286117554,1975000,0.017106909304857254,47.94778094373458,0.81,0.0003,47.09211704510108,29.609999999999996,43.149419730305674,,,,,,
,,,,,1975000,,,,,,,,39500,150,50.0,0.53,13135,41.04581408
0.006557024549692869,-82.73905944824219,50.0,1999899,0.48487216234207153,2000000,0.02022450603544712,48.096991200461936,0.75,0.0003,47.05638665116605,28.62,42.96759224146604,,,,,,
,,,,,2000000,,,,,,,,40000,150,50.0,0.71,13300,41.93784854
0.006820587906986475,-83.37965393066406,50.0,2024899,-0.055654376745224,2025000,0.02058316208422184,48.161194092798674,0.84,0.0003,46.957303295372945,30.759999999999998,43.50992285296321,,,,,,
,,,,,2025000,,,,,,,,40500,150,50.0,0.6,13465,41.54997981
0.007114403415471315,-83.4808578491211,50.0,2049899,0.7180790305137634,2050000,0.0190887413918972,48.218842725503805,0.85,0.0003,46.96985295488252,31.52,43.73188461884856,,,,,,
,,,,,2050000,,,,,,,,41000,150,50.0,0.59,13631,41.46236385
0.007363864220678806,-83.49412536621094,50.0,2074899,-0.651337742805481,2075000,0.021016526967287064,48.20219887089765,0.83,0.0003,47.00027922452626,30.709999999999997,43.52866923853755,,,,,,
,,,,,2075000,,,,,,,,41500,150,50.0,0.69,13797,41.70557656
0.007429235614836216,-83.20797729492188,50.0,2099899,-0.13487637042999268,2100000,0.023037880659103394,47.988110905206646,0.82,0.0003,46.7872350712195,30.06,43.20586419709027,,,,,,
,,,,,2100000,,,,,,,,42000,150,50.0,0.53,13962,41.02519703
0.007557370699942112,-83.86775207519531,50.0,2124899,-0.7979017496109009,2125000,0.035293374210596085,48.132006217701765,0.83,0.0003,46.726088757385455,30.0,43.247525296658274,,,,,,
,,,,,2125000,,,,,,,,42500,150,50.0,0.65,14128,42.19616410999999
0.007633186411112547,-84.05790710449219,50.0,2149899,0.924166738986969,2150000,0.016419045627117157,48.21283895763916,0.83,0.0003,47.131392313021856,30.8,43.589267556071285,,,,,,
,,,,,2150000,,,,,,,,43000,150,50.0,0.61,14294,41.682168329999996
0.007806973997503519,-83.81489562988281,50.0,2174899,-0.6074286699295044,2175000,0.0180542953312397,48.332227458199526,0.9,0.0003,47.64127923995601,33.67,44.493933539986614,,,,,,
,,,,,2175000,,,,,,,,43500,150,50.0,0.7,14460,41.91165573
0.0078100902028381824,-84.43718719482422,50.0,2199899,-0.1432332843542099,2200000,0.01629076525568962,48.08792190962589,0.94,0.0003,47.33012167877408,34.62,44.53149138048291,,,,,,
,,,,,2200000,,,,,,,,44000,150,50.0,0.73,14626,41.93140064999999
0.007985204458236694,-84.02716064453125,50.0,2224899,0.7551175355911255,2225000,0.028011901304125786,48.27092008776117,0.88,0.0003,47.16403859827149,32.14,43.96146969377995,,,,,,
,,,,,2225000,,,,,,,,44500,150,50.0,0.75,14791,42.13849843999999
0.00822511687874794,-84.1236801147461,50.0,2249899,-1.2547966241836548,2250000,0.01836870238184929,47.98979952830703,0.93,0.0003,47.25750435718778,33.52,44.18927586406469,,,,,,
,,,,,2250000,,,,,,,,45000,150,50.0,0.78,14958,42.45390607
0.008298252709209919,-84.47343444824219,50.0,2274899,-0.5976768136024475,2275000,0.027125531807541847,48.07131120494768,0.89,0.0003,47.014820779012176,33.550000000000004,44.176860803365706,,,,,,
,,,,,2275000,,,,,,,,45500,150,50.0,0.68,15124,41.70346712
0.008239935152232647,-84.94751739501953,50.0,2299899,1.390174388885498,2300000,0.0216512568295002,48.15882416681111,0.86,0.0003,46.75401599482275,31.36,43.60791607439518,,,,,,
,,,,,2300000,,,,,,,,46000,150,50.0,0.78,15289,42.406653899999995
0.008338941261172295,-85.40231323242188,50.0,2324899,1.3177006244659424,2325000,0.020442301407456398,48.144454615097125,0.92,0.0003,47.07774610223714,33.650000000000006,44.25416384622454,,,,,,
,,,,,2325000,,,,,,,,46500,150,50.0,0.72,15454,41.9426456
0.008612854406237602,-85.27741241455078,50.0,2349899,0.43358808755874634,2350000,0.017501022666692734,48.06074467390077,0.84,0.0003,47.32068759073289,31.490000000000002,43.733044234216216,,,,,,
,,,,,2350000,,,,,,,,47000,150,50.0,0.71,15619,41.67801507
0.008580037392675877,-85.01922607421875,50.0,2374899,0.15814131498336792,2375000,0.02368856593966484,48.16891410957491,0.87,0.0003,47.43256465118595,32.23,44.00009820535779,,,,,,
,,,,,2375000,,,,,,,,47500,150,50.0,0.82,15785,42.907479460000005
0.008699807338416576,-85.35798645019531,50.0,2399899,0.8293842673301697,2400000,0.022872723639011383,48.12681804707926,0.86,0.0003,47.322047053028626,32.78,44.08892078921199,,,,,,
,,,,,2400000,,,,,,,,48000,150,50.0,0.75,15950,41.70387766000001
