time/total_timesteps,train/ent_coef,train/n_updates,eval/mean_reward,train/actor_loss,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,train/critic_loss,eval/success_rate,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate
1075000,0.01200382225215435,1074899,56.94229967558756,-86.21287536621094,-1.2804354429244995,0.0003,50.0,1.2840455770492554,0.21,,,,,,
1075000,,,,,,,,,,21500,50.0,122,8810,54.08947147000001,0.09000000357627869
1100000,0.011184819042682648,1099899,54.36888020209037,-89.83495330810547,-0.7811363935470581,0.0003,50.0,1.2319481372833252,0.19,,,,,,
1100000,,,,,,,,,,22000,50.0,122,9008,55.10359449,0.09000000357627869
1125000,0.011411952786147594,1124899,55.43161635166034,-92.14500427246094,-1.099038004875183,0.0003,50.0,1.1742651462554932,0.18,,,,,,
1125000,,,,,,,,,,22500,50.0,122,9206,55.370878839999996,0.18000000715255737
1150000,0.010908802971243858,1149899,57.12221089449711,-94.7424545288086,-2.3908286094665527,0.0003,50.0,1.1305067539215088,0.2,,,,,,
1150000,,,,,,,,,,23000,50.0,122,9408,56.55521237,0.1599999964237213
1175000,0.010544667951762676,1174899,56.07673578776419,-95.89054870605469,0.0874299705028534,0.0003,50.0,0.8425772190093994,0.17,,,,,,
1175000,,,,,,,,,,23500,50.0,122,9609,53.06182852,0.20000000298023224
1200000,0.010266727767884731,1199899,57.89008248381317,-96.86705780029297,1.237565040588379,0.0003,50.0,0.935446560382843,0.22,,,,,,
1200000,,,,,,,,,,24000,50.0,122,9809,53.03479149999999,0.15000000596046448
1225000,0.01011657901108265,1224899,56.07053425466874,-98.69538879394531,-0.9267275333404541,0.0003,50.0,0.849432647228241,0.24,,,,,,
1225000,,,,,,,,,,24500,50.0,122,10010,53.0713425,0.17000000178813934
1250000,0.009919396601617336,1249899,57.26770168750314,-100.70503997802734,-0.6596777439117432,0.0003,50.0,0.870059609413147,0.21,,,,,,
1250000,,,,,,,,,,25000,50.0,122,10212,54.160095760000004,0.1599999964237213
1275000,0.00968887098133564,1274899,58.840420378092674,-101.21234130859375,-0.02537238597869873,0.0003,50.0,0.6339021921157837,0.29,,,,,,
1275000,,,,,,,,,,25500,50.0,122,10414,57.395681599999996,0.20999999344348907
1300000,0.009524819441139698,1299899,56.53053917790763,-104.35214233398438,-2.54036283493042,0.0003,50.0,0.6109011173248291,0.31,,,,,,
1300000,,,,,,,,,,26000,50.0,122,10614,56.96397514,0.23999999463558197
1325000,0.009170636534690857,1324899,60.34542797155678,-105.2610092163086,-0.09832745790481567,0.0003,50.0,0.7191165685653687,0.34,,,,,,
1325000,,,,,,,,,,26500,50.0,122,10813,58.055175389999995,0.23999999463558197
1350000,0.008829371072351933,1349899,57.990856401814675,-105.77111053466797,0.38279110193252563,0.0003,50.0,0.6936647295951843,0.34,,,,,,
1350000,,,,,,,,,,27000,50.0,122,11014,59.74158801000001,0.25999999046325684
1375000,0.008644788525998592,1374899,59.335348598882554,-107.5499267578125,1.023061990737915,0.0003,50.0,0.6552916765213013,0.41,,,,,,
1375000,,,,,,,,,,27500,50.0,122,11214,59.34631215,0.27000001072883606
1400000,0.008223531767725945,1399899,61.25845905929804,-108.97752380371094,1.359874963760376,0.0003,50.0,0.46507686376571655,0.47,,,,,,
1400000,,,,,,,,,,28000,50.0,122,11415,59.506322299999994,0.28999999165534973
1425000,0.008311395533382893,1424899,60.53366157382727,-110.81182098388672,0.4049946665763855,0.0003,50.0,0.4918254613876343,0.49,,,,,,
1425000,,,,,,,,,,28500,50.0,122,11617,60.24930351000001,0.33000001311302185
