train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed
249899,0.0102437324821949,0.0031146041583269835,0.0003,-92.39152526855469,1.248060941696167,45.61217372521758,50.0,0.9,250000,,,,,,
,,,,,,,,,250000,0.8100000023841858,44.74263903999999,5000,50.0,81,3056
274899,0.0124827791005373,0.003068709746003151,0.0003,-92.45498657226562,-0.4152235984802246,45.532527990490195,50.0,0.86,275000,,,,,,
,,,,,,,,,275000,0.8500000238418579,44.97380177,5500,50.0,81,3378
299899,0.012224049307405949,0.0030053388327360153,0.0003,-92.74874877929688,-0.3082379698753357,46.50063166618347,50.0,0.99,300000,,,,,,
,,,,,,,,,300000,0.9300000071525574,45.85434179,6000,50.0,81,3703
324899,0.008954780176281929,0.0029838955961167812,0.0003,-93.01092529296875,0.1070372462272644,46.28527910068631,50.0,0.98,325000,,,,,,
,,,,,,,,,325000,0.9599999785423279,46.03551468,6500,50.0,80,4027
349899,0.0075217741541564465,0.002998543903231621,0.0003,-93.17359161376953,0.5756053924560547,46.51829292371869,50.0,0.98,350000,,,,,,
,,,,,,,,,350000,0.9599999785423279,46.14009727,7000,50.0,80,4351
374899,0.00682914350181818,0.003072833176702261,0.0003,-93.70732879638672,2.053225517272949,46.999691911935805,50.0,0.99,375000,,,,,,
,,,,,,,,,375000,0.9599999785423279,46.21572827,7500,50.0,80,4673
399899,0.004920697771012783,0.0028517628088593483,0.0003,-93.88836669921875,-0.7225353717803955,46.7503243239224,50.0,0.99,400000,,,,,,
,,,,,,,,,400000,0.9900000095367432,46.407421029999995,8000,50.0,80,4996
424899,0.006977054290473461,0.002797636901959777,0.0003,-93.76066589355469,-0.4485705494880676,47.068009262531994,50.0,0.99,425000,,,,,,
,,,,,,,,,425000,0.9800000190734863,46.36144789,8500,50.0,79,5317
449899,0.005011315457522869,0.0028142051305621862,0.0003,-94.11688232421875,0.5435491800308228,46.89877897828817,50.0,1.0,450000,,,,,,
,,,,,,,,,450000,0.9800000190734863,46.492528199999995,9000,50.0,79,5642
474899,0.0062349773943424225,0.0028829139191657305,0.0003,-94.2882080078125,-0.27000388503074646,46.65314575180411,50.0,0.98,475000,,,,,,
,,,,,,,,,475000,1.0,46.59995016999999,9500,50.0,79,5966
499899,0.0052089933305978775,0.003191877156496048,0.0003,-94.54052734375,-0.3343510627746582,45.69461632579565,50.0,0.75,500000,,,,,,
,,,,,,,,,500000,0.8799999952316284,45.89299664999999,10000,50.0,79,6290
524899,0.007932232692837715,0.003095469204708934,0.0003,-94.71536254882812,-0.596830427646637,47.07833353072405,50.0,0.99,525000,,,,,,
,,,,,,,,,525000,0.9900000095367432,46.54768567,10500,50.0,79,6614
549899,0.005111572332680225,0.002988010412082076,0.0003,-94.77899169921875,-0.07586288452148438,47.28550699695945,50.0,0.99,550000,,,,,,
,,,,,,,,,550000,0.9900000095367432,46.71775251000001,11000,50.0,79,6939
574899,0.0047006309032440186,0.0029772412963211536,0.0003,-94.99180603027344,-1.8970110416412354,47.26471187636256,50.0,1.0,575000,,,,,,
,,,,,,,,,575000,0.9900000095367432,46.64972105999999,11500,50.0,79,7263
599899,0.0037469989620149136,0.0029466047417372465,0.0003,-94.9411849975586,-1.100429654121399,47.18074526757002,50.0,1.0,600000,,,,,,
,,,,,,,,,600000,0.9900000095367432,46.72533665000001,12000,50.0,79,7585
624899,0.003734393510967493,0.0028922271449118853,0.0003,-95.14027404785156,-0.7058253884315491,47.33356128796935,50.0,1.0,625000,,,,,,
,,,,,,,,,625000,0.9900000095367432,46.567168899999984,12500,50.0,79,7907
649899,0.004616104532033205,0.0029794240836054087,0.0003,-95.3985595703125,0.03326916694641113,47.22265053421259,50.0,1.0,650000,,,,,,
,,,,,,,,,650000,0.9900000095367432,46.764018820000004,13000,50.0,78,8229
674899,0.0033034798689186573,0.002810734324157238,0.0003,-95.3428726196289,1.3303214311599731,47.49441890701652,50.0,1.0,675000,,,,,,
,,,,,,,,,675000,0.9800000190734863,46.820507340000006,13500,50.0,78,8552
699899,0.004757735878229141,0.0028895323630422354,0.0003,-95.40690612792969,-1.032623052597046,47.33259148344398,50.0,1.0,700000,,,,,,
,,,,,,,,,700000,1.0,46.83095994999999,14000,50.0,78,8875
724899,0.003461119718849659,0.0028829537332057953,0.0003,-95.49775695800781,0.12878143787384033,47.39709004864097,50.0,1.0,725000,,,,,,
,,,,,,,,,725000,0.9900000095367432,46.706657029999995,14500,50.0,78,9194
749899,0.0053293099626898766,0.0028232198674231768,0.0003,-95.55299377441406,0.1709008514881134,47.22593440562487,50.0,1.0,750000,,,,,,
,,,,,,,,,750000,0.9800000190734863,46.76672321,15000,50.0,78,9517
774899,0.0033736974000930786,0.002827752148732543,0.0003,-95.39777374267578,-1.013578176498413,47.46062367990613,50.0,1.0,775000,,,,,,
,,,,,,,,,775000,1.0,46.908631559999996,15500,50.0,78,9840
799899,0.0022470022086054087,0.0029392738360911608,0.0003,-95.57855224609375,-1.9346667528152466,47.74592707127333,50.0,1.0,800000,,,,,,
,,,,,,,,,800000,1.0,47.02616331,16000,50.0,78,10160
824899,0.0018995130667462945,0.002865390619263053,0.0003,-95.50738525390625,1.1569907665252686,47.612588058710095,50.0,1.0,825000,,,,,,
,,,,,,,,,825000,0.9900000095367432,46.89343696000001,16500,50.0,78,10479
849899,0.004211226478219032,0.0028663568664342165,0.0003,-95.44525909423828,-1.8243626356124878,47.538235228359696,50.0,1.0,850000,,,,,,
,,,,,,,,,850000,1.0,47.110276030000016,17000,50.0,78,10803
874899,0.0041624922305345535,0.0028699387330561876,0.0003,-95.67489624023438,0.9005041122436523,47.60054853126407,50.0,1.0,875000,,,,,,
,,,,,,,,,875000,1.0,46.928079739999994,17500,50.0,78,11123
899899,0.002454423811286688,0.0027398259844630957,0.0003,-95.6270523071289,-2.310275077819824,47.548214491903785,50.0,1.0,900000,,,,,,
,,,,,,,,,900000,1.0,47.00174758,18000,50.0,78,11443
924899,0.0021584462374448776,0.0027706935070455074,0.0003,-95.75220489501953,1.868372917175293,47.59997356250882,50.0,1.0,925000,,,,,,
,,,,,,,,,925000,1.0,47.02781613000001,18500,50.0,78,11759
949899,0.002037071157246828,0.0027485303580760956,0.0003,-95.67543029785156,-0.23430153727531433,47.65232010304928,50.0,1.0,950000,,,,,,
,,,,,,,,,950000,1.0,47.050223130000006,19000,50.0,78,12076
974899,0.0025645955465734005,0.0027122078463435173,0.0003,-95.6151123046875,-0.42216959595680237,47.66769456550479,50.0,1.0,975000,,,,,,
,,,,,,,,,975000,1.0,47.00291418,19500,50.0,78,12395
999899,0.0025498506147414446,0.002739815739914775,0.0003,-95.70762634277344,1.1883901357650757,47.633269532322885,50.0,1.0,1000000,,,,,,
,,,,,,,,,1000000,1.0,47.04368445999999,20000,50.0,78,12714
1024899,0.0023533336352556944,0.002816825872287154,0.0003,-95.74675750732422,0.24868685007095337,47.77720299780369,50.0,1.0,1025000,,,,,,
,,,,,,,,,1025000,1.0,47.18880689,20500,50.0,78,13031
1049899,0.0013670270564034581,0.0028400421142578125,0.0003,-95.95790100097656,-0.10169827938079834,47.63756672039628,50.0,1.0,1050000,,,,,,
,,,,,,,,,1050000,1.0,47.199153399999986,21000,50.0,78,13348
1074899,0.0012433778028935194,0.0027672278229147196,0.0003,-95.87785339355469,-0.5609709024429321,47.7313033555448,50.0,1.0,1075000,,,,,,
,,,,,,,,,1075000,1.0,47.22794287,21500,50.0,78,13665
1099899,0.0015402811113744974,0.002815042622387409,0.0003,-95.98736572265625,0.05779606103897095,47.76515189781785,50.0,1.0,1100000,,,,,,
,,,,,,,,,1100000,1.0,47.250943789999994,22000,50.0,78,13984
1124899,0.000993815017864108,0.0027856966480612755,0.0003,-95.86099243164062,1.9151813983917236,47.856805305480954,50.0,1.0,1125000,,,,,,
,,,,,,,,,1125000,1.0,47.26419945000001,22500,50.0,78,14290
1149899,0.0013715967070311308,0.0027184667997062206,0.0003,-96.24018096923828,-0.8989462852478027,47.7341912765801,50.0,1.0,1150000,,,,,,
,,,,,,,,,1150000,1.0,47.193556449999996,23000,50.0,79,14522
1174899,0.0023674052208662033,0.0027496316470205784,0.0003,-96.05317687988281,-0.9763587117195129,47.538578606694934,50.0,1.0,1175000,,,,,,
,,,,,,,,,1175000,1.0,47.08973809000001,23500,50.0,79,14756
1199899,0.0013157217763364315,0.0026693036779761314,0.0003,-96.25140380859375,1.3912633657455444,47.43564481809735,50.0,0.89,1200000,,,,,,
,,,,,,,,,1200000,0.9100000262260437,46.880492059999995,24000,50.0,80,14987
1224899,0.0020215981639921665,0.0025833931285887957,0.0003,-96.47392272949219,0.46216386556625366,47.652271226197485,50.0,1.0,1225000,,,,,,
,,,,,,,,,1225000,1.0,47.066702099999986,24500,50.0,80,15219
1249899,0.0014823595993220806,0.0025891498662531376,0.0003,-96.3199462890625,-2.241424560546875,47.77972334444523,50.0,1.0,1250000,,,,,,
,,,,,,,,,1250000,1.0,47.32131720999999,25000,50.0,80,15450
1274899,0.0023862046655267477,0.00256866286508739,0.0003,-96.25382995605469,-0.7353363037109375,47.84382803082466,50.0,1.0,1275000,,,,,,
,,,,,,,,,1275000,1.0,47.13133833999999,25500,50.0,81,15681
1299899,0.0007906815153546631,0.0026565168518573046,0.0003,-96.37562561035156,-0.24507814645767212,47.80925385594368,50.0,1.0,1300000,,,,,,
,,,,,,,,,1300000,1.0,47.18974871999999,26000,50.0,81,15912
1324899,0.0010242766002193093,0.002600620035082102,0.0003,-96.34302520751953,-0.14041757583618164,47.78122072219848,50.0,1.0,1325000,,,,,,
,,,,,,,,,1325000,1.0,47.252427430000004,26500,50.0,82,16141
1349899,0.0014613386010751128,0.002612522104755044,0.0003,-96.35861206054688,-0.46813130378723145,47.751732127964495,50.0,1.0,1350000,,,,,,
,,,,,,,,,1350000,1.0,47.311842750000004,27000,50.0,82,16372
1374899,0.0014677681028842926,0.0025456673465669155,0.0003,-96.396484375,0.7113887071609497,47.71775401934981,50.0,1.0,1375000,,,,,,
,,,,,,,,,1375000,0.9900000095367432,47.15267988999998,27500,50.0,82,16601
1399899,0.0012343092821538448,0.0025152729358524084,0.0003,-96.40345764160156,0.439178466796875,47.81045106083155,50.0,1.0,1400000,,,,,,
