eval/mean_pos_reward,train/actor_loss,eval/mean_bonus_reward,eval/success_rate,time/total_timesteps,eval/mean_quat_reward,train/ent_coef,train/learning_rate,eval/mean_reward,train/n_updates,eval/mean_ep_length,train/ent_coef_loss,train/critic_loss,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/fps
21.391523790286083,-61.30699920654297,0.0,0.0,25000,31.772821579070644,0.007450840901583433,0.0003,19.93662951401202,24899,50.0,-0.8557995557785034,0.056338775902986526,,,,,,
,,,,25000,,,,,,,,,18.76930683,0.0,50.0,500,383,65
28.42382424175972,-60.60577392578125,0.0,0.0,50000,37.24833440779528,0.008022869937121868,0.0003,24.627059488082306,49899,50.0,2.254749298095703,0.07894930243492126,,,,,,
,,,,50000,,,,,,,,,23.847107830000006,0.0,50.0,1000,761,65
28.275357931946978,-60.321449279785156,0.0,0.0,75000,36.62397921838384,0.007099654991179705,0.0003,24.337251449280885,74899,50.0,1.3628348112106323,0.07741371542215347,,,,,,
,,,,75000,,,,,,,,,22.886591729999996,0.0,50.0,1500,1137,65
30.21892277789141,-60.327110290527344,0.0,0.0,100000,36.77367473702222,0.007140089757740498,0.0003,25.122224055403493,99899,50.0,1.0182563066482544,0.08073922991752625,,,,,,
,,,,100000,,,,,,,,,24.98117465,0.0,50.0,2000,1514,66
30.50729772724105,-59.815635681152344,0.0,0.0,125000,37.5797035491446,0.006594113539904356,0.0003,25.532625483828596,124899,50.0,2.463487386703491,0.09625192731618881,,,,,,
,,,,125000,,,,,,,,,25.424590199999997,0.0,50.0,2500,1902,65
31.720963458110347,-59.769508361816406,0.0,0.0,150000,38.017371103025425,0.006242416799068451,0.0003,26.151875447630882,149899,50.0,1.7644611597061157,0.11804839223623276,,,,,,
,,,,150000,,,,,,,,,25.07867335,0.0,50.0,3000,2289,65
30.401806248003993,-61.108680725097656,0.0,0.0,175000,36.714168502154834,0.00623390031978488,0.0003,25.16849052931764,174899,50.0,0.4925999641418457,0.08269869536161423,,,,,,
,,,,175000,,,,,,,,,26.293672270000005,0.0,50.0,3500,2673,65
31.54796044661095,-59.85551452636719,0.0,0.0,200000,38.34888666749609,0.005972206126898527,0.0003,26.21131767846644,199899,50.0,1.5797922611236572,0.09452902525663376,,,,,,
,,,,200000,,,,,,,,,26.451486600000006,0.0,50.0,4000,3071,65
31.075822477969595,-60.33999252319336,0.0,0.0,225000,39.00077309501111,0.0056815496645867825,0.0003,26.278723342809826,224899,50.0,0.3119049668312073,0.10191404819488525,,,,,,
,,,,225000,,,,,,,,,27.011288620000002,0.0,50.0,4500,3471,64
